mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__colsample_bytree,param_classifier__gamma,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__min_child_weight,param_classifier__n_estimators,param_classifier__reg_alpha,param_classifier__reg_lambda,param_classifier__scale_pos_weight,param_classifier__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
2.688317656517029,0.07177769195817316,0.20296114683151245,0.014286800439208514,0.9,0.7,0.08,4,10,90,0.1,1.0,8,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 10, 'classifier__n_estimators': 90, 'classifier__reg_alpha': 0.1, 'classifier__reg_lambda': 1.0, 'classifier__scale_pos_weight': 8, 'classifier__subsample': 0.9}",0.8675449487917384,0.8644952358693153,0.8648303573997336,0.8693695950481649,0.866560034277238,0.0020074151845307473,166
2.7422068119049072,0.05279703137500436,0.201960027217865,0.01829133164247774,0.9,0.7,0.08,4,10,90,0.1,1.0,10,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 10, 'classifier__n_estimators': 90, 'classifier__reg_alpha': 0.1, 'classifier__reg_lambda': 1.0, 'classifier__scale_pos_weight': 10, 'classifier__subsample': 0.9}",0.8665550336349496,0.8645900461122471,0.8649571185227769,0.8694232619904654,0.8663813650651098,0.0019052952186518397,235
2.6496086716651917,0.07385196775034249,0.20454180240631104,0.018225960048332174,0.9,0.7,0.08,4,10,90,0.1,1.0,12,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 10, 'classifier__n_estimators': 90, 'classifier__reg_alpha': 0.1, 'classifier__reg_lambda': 1.0, 'classifier__scale_pos_weight': 12, 'classifier__subsample': 0.9}",0.8672462052516342,0.8643420500737665,0.8633260393162746,0.8681115776673753,0.8657564680772627,0.0019794835362410305,442
2.700127959251404,0.09169784706222972,0.19478052854537964,0.003134029264206946,0.9,0.7,0.08,4,10,90,0.1,2.0,8,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 10, 'classifier__n_estimators': 90, 'classifier__reg_alpha': 0.1, 'classifier__reg_lambda': 2.0, 'classifier__scale_pos_weight': 8, 'classifier__subsample': 0.9}",0.8671186916117335,0.864746964965581,0.8653805047004316,0.8685913259257698,0.866459371800879,0.0015063384740511717,207
2.618487298488617,0.048453623252965504,0.2189561128616333,0.04813045616871763,0.9,0.7,0.08,4,10,90,0.1,2.0,10,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 10, 'classifier__n_estimators': 90, 'classifier__reg_alpha': 0.1, 'classifier__reg_lambda': 2.0, 'classifier__scale_pos_weight': 10, 'classifier__subsample': 0.9}",0.8669619354172996,0.8649161860411586,0.8651799153403454,0.8689332306442159,0.8664978168607549,0.0016112934864725439,186
2.683301270008087,0.08173707009803924,0.20079106092453003,0.0070309677043469045,0.9,0.7,0.08,4,10,90,0.1,2.0,12,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 10, 'classifier__n_estimators': 90, 'classifier__reg_alpha': 0.1, 'classifier__reg_lambda': 2.0, 'classifier__scale_pos_weight': 12, 'classifier__subsample': 0.9}",0.8668603031534184,0.8632195950438363,0.8634027297079913,0.8686040287700248,0.8655216641688177,0.002295774998303319,496
2.7990793585777283,0.054777704293535984,0.20895785093307495,0.0112876469205969,0.9,0.7,0.08,4,10,95,0.0,1.0,8,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 10, 'classifier__n_estimators': 95, 'classifier__reg_alpha': 0.0, 'classifier__reg_lambda': 1.0, 'classifier__scale_pos_weight': 8, 'classifier__subsample': 0.9}",0.8681081880441729,0.8648162631935987,0.8651307061813203,0.8689780864521561,0.8667583109678121,0.0018145397639978433,95
2.746200144290924,0.1249122486584869,0.21335184574127197,0.011134020894108216,0.9,0.7,0.08,4,10,95,0.0,1.0,10,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 10, 'classifier__n_estimators': 95, 'classifier__reg_alpha': 0.0, 'classifier__reg_lambda': 1.0, 'classifier__scale_pos_weight': 10, 'classifier__subsample': 0.9}",0.8677625370500647,0.8649053196108374,0.8647728788951982,0.8695860108019893,0.8667566865895224,0.0020236021907757543,97
2.6867107152938843,0.054364513477586876,0.21240496635437012,0.01418240796278353,0.9,0.7,0.08,4,10,95,0.0,1.0,12,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 10, 'classifier__n_estimators': 95, 'classifier__reg_alpha': 0.0, 'classifier__reg_lambda': 1.0, 'classifier__scale_pos_weight': 12, 'classifier__subsample': 0.9}",0.8675648221825822,0.8645380898434448,0.8638535393307802,0.867811921576232,0.8659420932332598,0.0017651338615899497,384
2.832842707633972,0.1414600124879848,0.19905519485473633,0.011798493310361119,0.9,0.7,0.08,4,10,95,0.0,2.0,8,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 10, 'classifier__n_estimators': 95, 'classifier__reg_alpha': 0.0, 'classifier__reg_lambda': 2.0, 'classifier__scale_pos_weight': 8, 'classifier__subsample': 0.9}",0.8679912178488098,0.8655660660278908,0.8632532431938764,0.8692008173619334,0.8665028361081276,0.00228756285943482,182
